wine,source_row,feature_group_id,split
red,1,ed732442ffd17d038e1226309b15b91b777280f90d2eb83b4c39a737f1648045,validation
red,2,43e2e3f25170f6609bbded15845b034913b5f8317159b9e573c1fb6b23a6fc3f,training
red,3,aa8ed2a845205f4d5357592cc1b2591ea5d4cb53efab33a4e5887007d3ccb1b6,final_evaluation
red,4,2408349998afb1fb779adb902a675bdb9ceca14fb5cdefb4167e4edc98f36292,validation
red,5,ed732442ffd17d038e1226309b15b91b777280f90d2eb83b4c39a737f1648045,validation
red,6,a895f2554842c84459c6366e146a2abc802435e1107179fa8c9c7182053dd4e2,final_evaluation
red,7,6a46dedcb2593df557d9ab24e5edab98c09bd2311b81d2f24403bbe7f80bbdda,training
red,8,362f2a0eac6d64f3006b6bddb470902580d8f5e1adb103e673c43aa5ea3b8235,final_evaluation
red,9,0453836fb16b0d98c32ca6514151646dd4a33ab745df8572d9545723f877e2e6,training
red,10,6dbfb499e4ab2701d5d80f060c0f10b22766305002e21977cb4cfb9fe2b36291,training
red,11,7f35e6718fe13961e0a500b3d5546938582cbec2ad64566ae817eaa99c4252ae,final_evaluation
red,12,6dbfb499e4ab2701d5d80f060c0f10b22766305002e21977cb4cfb9fe2b36291,training
red,13,83cbada3d6a61a71f10c217c27b5ceb916c4e2dab168e5396fd07e891419e56a,training
red,14,7f8d5d48d32aceb7730a3ee9bd4492539e52fd1f1d43f30095556e0abb958a20,validation
red,15,34409c55f0f0b10a1e19cc9308227cc4af80ae57c020d8a593fd62a767ca6b41,final_evaluation
red,16,0a576e8709894c2da5bbed1523953b454d6cac50742d58e3f9e54dd932278384,training
red,17,5b9589add9ab5da48063bc249b76073ed94131742b0974a1a8cec01fb60d7ec1,training
red,18,5bf3dba5d3c5fa5afae7294a1a980b642b543f895f6e1cb3253478a6753a76cc,validation
red,19,818259cb25c9887c0c494f25d7803625ce74fd8d928b94da7dc7d48176b02cb9,training
red,20,d448e32f9f42e39c3af544df6aa69c2eda9aa28671c3130f8871024806b8c891,training
red,21,b9b5b0fa4114d9478beb00f4ec23b7cc0ac620894d37180c0974af6dd98777da,final_evaluation
red,22,284f7732e92725c272efb8278318c534cbcabe576290459911f61ebab33e5928,training
red,23,57190c67f0143455349ef0d79cd4a0a4195a463a44cf4c777142536b4a268c04,training
red,24,0dc11a6583a362342333843edb10900d534b410044e73743406a5756582ac7aa,final_evaluation
red,25,a54ec5f239ad2d5efb97ce2ef445349f62d445a46cdd99d2202736ca7a439496,training
red,26,c069b4f29726d98ab8db2c7c8dec47063e2488d21a1e3f75d0ad33c303c151a4,training
red,27,6932d89601ca15c27ecb13be1bf7c5273120d2af54f719bfd783aa61337b0072,training
red,28,57190c67f0143455349ef0d79cd4a0a4195a463a44cf4c777142536b4a268c04,training
red,29,fdee21bf528f6a8be32c8466b19786118090e2cce55d427423734485bcfec210,validation
red,30,348adb092ca976e3ffa3a840bc90a2e768b8adfd2a7328096c28eac06f967695,final_evaluation
red,31,690b4902d38a8eedd12cd325621a5b529dd617b4f04479167118a79dad1bc560,training
red,32,122ffb264769835be62e4b73545d83b791ea33afd645fd68736c20b7c3a2fb0d,training
red,33,54ba012229edec6911eb4f3ee0228a40df250ea86d038672a65fa9c68883019c,training
red,34,aec838dd1b20cde2a12cacf5f823bf9fc6709f767d93b1d260cdb74395651ee6,training
red,35,a8dcca9489c5a4c65296f99400b29f91cf0c8dbcc44c4d4287dc2a719ada3c2c,training
red,36,7d28015dca36016de75bd14cc8f1ce8811286b66a85d89a77223d2830b427f93,training
red,37,9c8019cdefe1828db67b1286450180f3ef6b9775b5b64f3c9da94638a471fd5e,training
red,38,8d70e867b174a7d2e0de927bf2df538931fd89b1f228e0933dcce41a196d9762,training
red,39,15addb595c5ba5ac43fe437accbc1d6909cbd6394a505828285d40d80632cc45,training
red,40,6e0cbffd4648df48da376f8e2ffb233fcba734305640a8bde4b06e1a12dd6fa0,validation
red,41,6e0cbffd4648df48da376f8e2ffb233fcba734305640a8bde4b06e1a12dd6fa0,validation
red,42,2aa378b0c6b2c6ffbeefbec24683fdd483199822ce879e7bf1237997c699fe93,training
red,43,8c2449ff9d86b9e2ebc425a7c13478f72581b8f7c66312f7bee5ac6a26c92736,final_evaluation
red,44,4d0a5695ddfa56045f29ee1434dcc91a9448ce45e5a234797731f9697756eb5d,training
red,45,3d6bc212938a295eea2404fd30f739a6486473c3d2201c9650f8f2fcf98652c3,training
red,46,8b43dcaa97ed7a49bd049bac30563c051b19fcd3666a48d56c77eb5ddf7e3e97,training
red,47,40e3a6cbeab679c352599001651ad032554502dd1560e6738d902e91ca49b862,validation
red,48,6d33cb1af4b40bcd8a602913c4835722d0159bf07829cb53c1224f3a0c1e8ad8,validation
